year,state,state_po,state_fips,district,totalvotes,DEMOCRAT,REPUBLICAN,DEMOCRAT_PRCT,REPUBLICAN_PRCT,SPREAD_DR,SPREAD_RD,TOTAL_TW,DEMOCRAT_PRCT_TW,REPUBLICAN_PRCT_TW,SPREAD_DR_TW
1990,IOWA,IA,19,1,0,0,90042,NA,NA,NA,NA,90042,0,1,-1
1990,IOWA,IA,19,2,0,81008,82650,NA,NA,NA,NA,163658,0.4949834410783463,0.5050165589216536,-0.010033117843307349
1990,IOWA,IA,19,3,0,100947,0,NA,NA,NA,NA,100947,1,0,1
1990,IOWA,IA,19,4,0,127812,0,NA,NA,NA,NA,127812,1,0,1
1990,IOWA,IA,19,5,0,47022,99978,NA,NA,NA,NA,147000,0.31987755102040816,0.6801224489795918,-0.3602448979591837
1990,IOWA,IA,19,6,0,44063,112333,NA,NA,NA,NA,156396,0.2817399421980102,0.7182600578019899,-0.4365201156039797
1990,KANSAS,KS,20,1,0,61396,102974,NA,NA,NA,NA,164370,0.3735231489931253,0.6264768510068748,-0.2529537020137495
1990,KANSAS,KS,20,2,0,99093,58643,NA,NA,NA,NA,157736,0.6282205710807932,0.3717794289192068,0.2564411421615864
1990,KANSAS,KS,20,3,0,58923,88725,NA,NA,NA,NA,147648,0.39907753576072824,0.6009224642392718,-0.20184492847854352
1990,KANSAS,KS,20,4,0,112015,46283,NA,NA,NA,NA,158298,0.7076210691227938,0.2923789308772063,0.4152421382455875
1990,KANSAS,KS,20,5,0,62244,90555,NA,NA,NA,NA,152799,0.4073586869024012,0.5926413130975988,-0.18528262619519764
1990,KENTUCKY,KY,21,1,0,85323,0,NA,NA,NA,NA,85323,1,0,1
1990,KENTUCKY,KY,21,2,0,77057,39624,NA,NA,NA,NA,116681,0.6604074356579049,0.3395925643420951,0.3208148713158098
1990,KENTUCKY,KY,21,3,0,84750,55188,NA,NA,NA,NA,139938,0.6056253483685632,0.39437465163143676,0.21125069673712643
1990,KENTUCKY,KY,21,4,0,44979,101680,NA,NA,NA,NA,146659,0.3066910315766506,0.6933089684233494,-0.3866179368466988
1990,KENTUCKY,KY,21,5,0,0,64660,NA,NA,NA,NA,64660,0,1,-1
1990,KENTUCKY,KY,21,6,0,0,76859,NA,NA,NA,NA,76859,0,1,-1
1990,KENTUCKY,KY,21,7,0,61330,59377,NA,NA,NA,NA,120707,0.5080898373748002,0.4919101626251999,0.016179674749600303
1990,LOUISIANA,LA,22,1,0,0,1,NA,NA,NA,NA,1,0,1,-1
1990,LOUISIANA,LA,22,2,0,105853,0,NA,NA,NA,NA,105853,1,0,1
1990,LOUISIANA,LA,22,3,0,1,0,NA,NA,NA,NA,1,1,0,1
1990,LOUISIANA,LA,22,4,0,0,1,NA,NA,NA,NA,1,0,1,-1
1990,LOUISIANA,LA,22,5,0,1,0,NA,NA,NA,NA,1,1,0,1
1990,LOUISIANA,LA,22,6,0,0,1,NA,NA,NA,NA,1,0,1,-1
1990,LOUISIANA,LA,22,7,0,1,0,NA,NA,NA,NA,1,1,0,1
1990,LOUISIANA,LA,22,8,0,0,1,NA,NA,NA,NA,1,0,1,-1
1990,MAINE,ME,23,1,0,167623,110836,NA,NA,NA,NA,278459,0.6019665372640137,0.3980334627359863,0.20393307452802745
1990,MAINE,ME,23,2,0,116798,121704,NA,NA,NA,NA,238502,0.48971497094363986,0.5102850290563601,-0.020570058112720224
1990,MARYLAND,MD,24,1,0,67518,88920,NA,NA,NA,NA,156438,0.4315959038085376,0.5684040961914625,-0.1368081923829249
1990,MARYLAND,MD,24,2,0,39785,115398,NA,NA,NA,NA,155183,0.25637473176829934,0.7436252682317006,-0.4872505364634013
1990,MARYLAND,MD,24,3,0,82545,35841,NA,NA,NA,NA,118386,0.6972530535705236,0.30274694642947647,0.3945061071410471
1990,MARYLAND,MD,24,4,0,85601,59846,NA,NA,NA,NA,145447,0.588537405377904,0.411462594622096,0.177074810755808
1990,MARYLAND,MD,24,5,0,84747,20314,NA,NA,NA,NA,105061,0.8066456629957834,0.1933543370042166,0.6132913259915669
1990,MARYLAND,MD,24,6,0,106502,56479,NA,NA,NA,NA,162981,0.6534626735631761,0.34653732643682394,0.30692534712635217
1990,MARYLAND,MD,24,7,0,59628,10529,NA,NA,NA,NA,70157,0.849922317088815,0.15007768291118492,0.6998446341776301
1990,MARYLAND,MD,24,8,0,39343,130059,NA,NA,NA,NA,169402,0.23224637253397246,0.7677536274660276,-0.5355072549320552
1990,MASSACHUSETTS,MA,25,1,0,43611,150748,NA,NA,NA,NA,194359,0.22438374348499426,0.7756162565150058,-0.5512325130300115
1990,MASSACHUSETTS,MA,25,2,0,134152,0,NA,NA,NA,NA,134152,1,0,1
1990,MASSACHUSETTS,MA,25,3,0,150992,0,NA,NA,NA,NA,150992,1,0,1
1990,MASSACHUSETTS,MA,25,4,0,143473,75454,NA,NA,NA,NA,218927,0.6553463026488281,0.34465369735117185,0.31069260529765624
1990,MASSACHUSETTS,MA,25,5,0,110232,101017,NA,NA,NA,NA,211249,0.5218107541337473,0.4781892458662526,0.043621508267494724
1990,MASSACHUSETTS,MA,25,6,0,149284,80177,NA,NA,NA,NA,229461,0.6505855025472739,0.3494144974527262,0.3011710050945477
